gene;frequency
CXCL13;0
XCR1;0
RHO;0
ARNTL;0
PCOLCE;0
PMP22;0
PEX12;0
PEX13;0
PEX3;0
RCOR1;0
PEX16;0
PEX11A;0
PEX11B;0
SLC25A17;0
PXMP4;0
PDCL;0
EAF2;0
SNF8;0
IARS;0
EN2;0
MAP2K6;0
DUSP2;0
DUSP22;0
TNR;0
FABP5;0
SNRPD2;0
HNRNPR;0
LSM2;0
LSM5;0
GEMIN7;0
LRRFIP1;0
LRRFIP2;0
PECR;0
CSTF1;0
SYMPK;0
MSC;0
PYY;0
SLIT1;0
PREP;0
TFB1M;0
TFB2M;0
UBE2L6;0
SCN2A;0
SNRPA1;0
NCBP2;0
HAND1;0
SCAP;0
INSIG1;0
INSIG2;0
HLA-B;0
SOX11;0
POU2AF1;0
HLA-G;0
HLA-F;0
NCKAP1;0
EIF2B2;0
KCNJ8;0
CD1E;0
CRYBB1;0
ENSA;0
TBPL1;0
FCN2;0
C2;0
LILRB1;0
HTR1B;0
RNF41;0
IL27RA;0
ZNF467;0
IL12RB1;0
CEACAM6;0
TBX5;0
FOXH1;0
ETV4;0
NKX3-1;0
BARX2;0
CEACAM8;0
CCHCR1;0
CXCL1;0
BIRC3;0
SRP72;0
CCL2;0
BIRC5;0
PARG;0
BIRC7;0
GORASP1;0
SLK;0
SARS2;0
PDE10A;0
NOD1;0
PPP2R3A;0
SOX18;0
IKBKAP;0
KCNJ16;0
CTLA4;0
LY9;0
NUP50;0
LIF;0
FCAR;0
POU3F1;0
SRP14;0
PTCH2;0
PIGR;0
PDX1;0
SPOP;0
HSPA2;0
CCNG2;0
RB1CC1;0
DOCK3;0
PTRF;0
TCEB3B;0
GGCX;0
RETN;0
FOXL1;0
PMPCA;0
ARSA;0
ACTR8;0
TWF1;0
SRPK2;0
PRPF4;0
PRPF4B;0
CDK12;0
LUC7L3;0
CCNL2;0
RAD50;0
COPZ2;0
GFRA1;0
GFRA2;0
CIR1;0
HESX1;0
NR6A1;0
KARS;0
GTF3C2;0
GDE1;0
AGFG1;0
EPS15L1;0
RNF216;0
BMP8B;0
ANKRD6;0
UGCG;0
KCNJ3;0
PPRC1;0
EXO1;0
CXCL9;0
CXCL11;0
POU3F3;0
XRCC4;0
IGSF1;0
CRHR2;0
CRHBP;0
CRHR1;0
TWSG1;0
TNKS;0
POT1;0
TINF2;0
IL18BP;0
IL18R1;0
IL18RAP;0
IL1RL2;0
ADAM19;0
COPE;0
LTBR;0
TNFSF14;0
MBTPS1;0
FSTL3;0
HTR2B;0
RGS16;0
GALR2;0
PLCB2;0
S1PR2;0
BPTF;0
CLDN3;0
CLDN7;0
GJC1;0
CLDN6;0
TJP3;0
CACNB1;0
CABP1;0
CACNB3;0
CACNA1E;0
EFHC1;0
KCNJ10;0
LRRC1;0
GDF7;0
KIF13B;0
DHDDS;0
GLS2;0
MARCH8;0
NUP88;0
NUP133;0
ATXN3;0
DERL1;0
VCPIP1;0
CLINT1;0
RAB11FIP2;0
SIRPA;0
NEUROD2;0
ARHGAP10;0
NCAM1;0
KIF20B;0
NTF3;0
BOK;0
IGFALS;0
TIMM22;0
PEF1;0
SNRPF;0
MARCH2;0
CHRNA4;0
MPP6;0
TNFRSF13B;0
P2RX6;0
P2RX4;0
KCNH2;0
CCR2;0
CCL16;0
CCL8;0
CCL23;0
XPOT;0
TPH1;0
RANGRF;0
TMED1;0
EYA1;0
EYA3;0
SLC22A1;0
SLC22A2;0
PITPNM3;0
MLST8;0
SMPD2;0
SEC14L2;0
PIK3R5;0
DVL3;0
DIP2A;0
SYNM;0
CDYL;0
TGIF2;0
RECQL5;0
TLX2;0
DYSF;0
JPH2;0
CCL13;0
CCL24;0
VPS35;0
SNX5;0
SEMA3A;0
MLF1;0
ADAM22;0
TLK2;0
TESK1;0
DHX15;0
CABP2;0
RAD17;0
HS1BP3;0
SMO;0
LATS1;0
FRAT1;0
CXXC4;0
EPHA7;0
VPS28;0
VPS37C;0
NRBP1;0
UPF3A;0
FBXL4;0
FBXL5;0
FBXO7;0
FBXO4;0
FBXL8;0
FBXO9;0
FBXO17;0
PFDN1;0
OPRL1;0
NFIL3;0
PEX1;0
PEX26;0
SEPT9;0
SLC30A3;0
GIGYF2;0
TNKS2;0
ALX4;0
SMC1A;0
CLGN;0
KCNJ5;0
DNAI1;0
VPS4A;0
ZNF354A;0
GLUD1;0
MCFD2;0
PTP4A1;0
IL23A;0
CXCR5;0
UNC5C;0
MASP2;0
NAPG;0
GOSR1;0
BAP1;0
NIN;0
TOB2;0
BRIP1;0
POLR2K;0
ERMAP;0
EIF4G2;0
TNFRSF9;0
TNFRSF14;0
TNFRSF11A;0
TNFRSF12A;0
TNFSF9;0
LMO4;0
PABPN1;0
ROCK2;0
INA;0
MYH1;0
RREB1;0
TFF1;0
MUC6;0
TLX3;0
ZNF197;0
TRIM31;0
IFT57;0
ALG9;0
SPRY4;0
GATA2;0
LMTK2;0
C5;0
DUSP6;0
IER3;0
DUSP5;0
RPS19;0
STK19;0
CCL20;0
EFNB3;0
CDH7;0
OTC;0
CDH9;0
FGFR4;0
ERN1;0
TAOK3;0
TRAF3IP1;0
TRAF3IP3;0
CDH4;0
CDH11;0
TMED2;0
ESRRB;0
PORCN;0
GGA2;0
IMPA1;0
RPL23A;0
PUF60;0
DCP2;0
MPRIP;0
ACSL6;0
TERF2;0
TERF2IP;0
CRH;0
PPP4R1;0
PPP4R2;0
EIF3B;0
SPDEF;0
ELAC2;0
CBX7;0
CDC42SE1;0
SEMA4F;0
PSMB7;0
MLH3;0
MATN4;0
NUCB2;0
SOD1;0
TLR3;0
SEC63;0
CLK4;0
GABRB2;0
PEG10;0
ULK1;0
NRL;0
APIP;0
KCNQ3;0
DIS3;0
EXOSC9;0
KHSRP;0
EXOSC2;0
PPP3CB;0
ANXA13;0
PRRG2;0
PMEPA1;0
N4BP3;0
PRMT3;0
TGOLN2;0
RNF115;0
TAOK1;0
SNAPC1;0
CALCA;0
IL17RB;0
OTUD7B;0
ZNF675;0
HCRTR1;0
HCRTR2;0
LIMS2;0
PARVA;0
ILKAP;0
SHANK2;0
ARIH1;0
ATP6V1A;0
PPP2R5D;0
CCS;0
DNAJA1;0
ZNF473;0
KLRC4;0
MAP3K6;0
STEAP3;0
POP1;0
RPP30;0
RPP38;0
RPP40;0
POP5;0
RPP25;0
PDE1A;0
TSSK2;0
ACBD3;0
ARL1;0
TUBG2;0
HIC2;0
AFF4;0
NME3;0
PPEF1;0
SCAMP1;0
STX6;0
ASCL2;0
KCNQ2;0
PPEF2;0
GPR37;0
ST8SIA4;0
BHLHE40;0
CCR9;0
EMP3;0
TSNAX;0
GOLGA7;0
OXSR1;0
PAK1IP1;0
PPM1F;0
RBM8A;0
NAIP;0
MAPK11;0
PNN;0
KLF12;0
KLF3;0
SYNPO;0
PAIP1;0
EIF4G3;0
TNFSF10;0
TNPO2;0
CASP5;0
KATNA1;0
PSMD5;0
CLSTN3;0
NPHS2;0
RBMXL2;0
PRKAB2;0
PRKAG1;0
PRKAG2;0
AGPS;0
XRCC3;0
UIMC1;0
GTF3C4;0
KIF3C;0
TRPS1;0
PATZ1;0
RGS10;0
MLN;0
FZD4;0
NLGN1;0
NDOR1;0
SIPA1L1;0
KLRD1;0
PCDH8;0
PEG3;0
NCAPG;0
SERPINI2;0
YRDC;0
UBOX5;0
HAT1;0
NUP210;0
TPM4;0
SH2D3A;0
TSN;0
TSNAXIP1;0
SUN1;0
MNT;0
MLXIPL;0
CDH19;0
CDH18;0
CDH12;0
IKZF2;0
IKZF4;0
LY96;0
TLR6;0
PSMA3;0
PPP1R12B;0
PIGT;0
SLC12A9;0
PRKD2;0
CLSPN;0
FBXW4;0
FBXW11;0
PTPRN2;0
PPIG;0
UBA3;0
UBE2M;0
XPO7;0
GOSR2;0
SEC22B;0
SCFD1;0
BET1;0
MPP5;0
VPS11;0
PBRM1;0
BRWD1;0
MAP3K13;0
LPA;0
ASPH;0
MMP24;0
KCNF1;0
INCENP;0
TNFSF15;0
TSHB;0
HIST1H2AL;0
TRIM33;0
PHLDA1;0
LCT;0
SFRP1;0
RAB15;0
HTR3A;0
TRIM38;0
NOD2;0
EDEM1;0
CDK5RAP3;0
TLL1;0
SERP1;0
DPM3;0
DKK2;0
AP1S1;0
AP1G2;0
SYNRG;0
AFTPH;0
GABBR2;0
CHD8;0
VPS13D;0
TRIM8;0
TNFRSF10C;0
TNFRSF10D;0
HUNK;0
PPM1D;0
TRPM2;0
STX16;0
VPS45;0
MOCS3;0
RNF144A;0
S1PR4;0
IFT20;0
USP49;0
PPP2R5B;0
SLC22A4;0
FIS1;0
MPHOSPH8;0
RAB27B;0
TROAP;0
TIPIN;0
NUP107;0
KCNMB1;0
EIF2B5;0
CDK19;0
RINT1;0
AGFG2;0
TUBB1;0
GRM6;0
NCR2;0
KIR2DS2;0
TREM1;0
TREM2;0
CTCF;0
CCDC22;0
STAG2;0
MUS81;0
TSSK1B;0
S1PR5;0
IFITM1;0
FAF2;0
SP100;0
MIS12;0
DSN1;0
NSL1;0
GCG;0
PMCH;0
ASCC3;0
TRIP12;0
HIST1H3C;0
CPM;0
HSBP1;0
DCAF7;0
POLR1C;0
OLIG2;0
NEUROG2;0
MMP10;0
PCSK7;0
PAN2;0
CSDE1;0
MATN3;0
CTNNAL1;0
SPA17;0
ROPN1B;0
ARL2BP;0
PFDN2;0
POLR3F;0
GTF3C5;0
CNOT6;0
KCNJ1;0
PPIH;0
SHARPIN;0
FRAT2;0
TMEM132A;0
TPPP;0
VPREB1;0
STK3;0
PUM2;0
WDTC1;0
FOXJ3;0
FNBP1L;0
HSPA14;0
OSTM1;0
ATG3;0
ATG7;0
DCTN4;0
GALNT6;0
PTGER1;0
PTGER2;0
PIWIL2;0
ZNF335;0
IL22RA1;0
CEP152;0
RPL14;0
AGRP;0
RASAL2;0
RASSF8;0
TCEAL1;0
CLASP1;0
SRRM1;0
SF3B3;0
IL25;0
MMP26;0
EIF4E2;0
SPTLC2;0
CDC42EP2;0
DAPK2;0
TUBGCP2;0
PBLD;0
CPSF1;0
SMYD3;0
TLN2;0
UBE3C;0
PIWIL1;0
TRIM9;0
PSTPIP2;0
PMPCB;0
CIAO1;0
APOBEC3F;0
NPHP4;0
SOX5;0
SPC25;0
TMEM214;0
RRP1B;0
NDUFAF3;0
PLEKHA5;0
ISOC2;0
RSL24D1;0
CCDC91;0
BMP6;0
EPM2AIP1;0
ATG4A;0
SMC4;0
SMC2;0
USP10;0
PPFIA4;0
RRAGC;0
RRAGD;0
NRIP2;0
NPLOC4;0
SCMH1;0
SUCLG1;0
NPFFR1;0
TOR1B;0
GTF2IRD1;0
MED20;0
THOC7;0
TRIM5;0
MUC7;0
EMCN;0
PODXL2;0
SCG3;0
HSPBP1;0
MED13L;0
ITM2C;0
POLR2G;0
PTS;0
EXOSC1;0
COG4;0
COG7;0
HPS6;0
PTGFR;0
DIO2;0
P2RX2;0
HADH;0
DAZL;0
SNRNP40;0
ATG5;0
ATG10;0
TSPO;0
CSN3;0
KIF15;0
PTGER3;0
MYO16;0
PCIF1;0
PRPF19;0
CYB5R3;0
KCNG2;0
KCNV2;0
SETBP1;0
ZNF384;0
POP7;0
CPN2;0
TDRD7;0
CLCF1;0
GNG7;0
GNG5;0
GNG4;0
GNG13;0
CPLX2;0
EHBP1;0
EHD3;0
PIKFYVE;0
MKRN1;0
RPP14;0
IFNAR1;0
MTMR7;0
ROBO4;0
ARID4B;0
RNF34;0
C14orf166;0
CAP2;0
ASCC1;0
MPHOSPH10;0
DDN;0
STRADA;0
MYLIP;0
GALNT14;0
UCHL5;0
RRAGA;0
NOL8;0
HAUS7;0
RAB3GAP1;0
DBF4B;0
C16orf70;0
SF3B2;0
ABCB8;0
IMP3;0
CDH8;0
CNPY2;0
SAP130;0
TXNL4B;0
BAHCC1;0
INHBE;0
IFT140;0
CDHR2;0
NIP7;0
MUC2;0
CEP57;0
BRSK2;0
CBY1;0
CHMP1B;0
VPS4B;0
SCAPER;0
CDH16;0
GALNT10;0
GALNT12;0
CRCP;0
GAD1;0
GALNT11;0
SYT13;0
POLR3C;0
IL2RA;0
CST7;0
NUP37;0
PTBP2;0
SIK2;0
PPBP;0
MED4;0
SEC61A1;0
SH3GLB2;0
CST5;0
SERPINB3;0
ATG16L1;0
SERPINB4;0
CLEC2D;0
B9D1;0
IPO9;0
BET1L;0
AGAP1;0
CTSE;0
RSU1;0
MSX2;0
CIZ1;0
ST8SIA2;0
ST8SIA3;0
MYT1;0
MCM7;0
PTPN9;0
POLR2H;0
HOXC10;0
PRCP;0
GSPT2;0
FCGR2A;0
SSBP3;0
ARPC4;0
OGDH;0
ATP1B1;0
BSN;0
CREM;0
AP3S1;0
BRD3;0
CSF3;0
EPS8L1;0
C8B;0
DARS;0
KCNV1;0
SEPT7;0
APOBEC2;0
CHMP2A;0
DGKH;0
KCND3;0
HIST1H2BD;0
RAD1;0
PPIL2;0
KCNIP2;0
NFAT5;0
MPO;0
M6PR;0
CXCL2;0
SNRPA;0
POLG;0
SRP54;0
ODC1;0
PTH;0
FCER1A;0
IFNGR1;0
ACTR2;0
ADCYAP1R1;0
ARF3;0
ARL14;0
ATF7IP2;0
C1S;0
CACNA1H;0
CCNC;0
CD209;0
CD80;0
CDKL1;0
ACAP1;0
CHN2;0
MED27;0
CXXC1;0
PREX2;0
DRD5;0
EIF4ENIF1;0
ELK4;0
FBXL12;0
FBXO34;0
GNB3;0
GNG11;0
HDGF;0
KATNB1;0
KLHL1;0
MYO3A;0
NAA16;0
PPP3CC;0
PREB;0
RAB13;0
RAB14;0
RAB30;0
RNF130;0
RNF141;0
RNF146;0
RRH;0
SAV1;0
SMAP1;0
JARID2;0
NCBP1;0
PACS2;0
FGF4;0
MX1;0
RARRES3;0
AK2;0
APEH;0
RMND5B;0
ACTG2;0
APOBEC3C;0
MT1F;0
MT1G;0
MPDU1;0
DDX3Y;0
PLP2;0
F13A1;0
PF4;0
S100A10;0
G6PD;0
APCS;0
GSTM2;0
CFD;0
CLEC4M;0
NADSYN1;0
RPRD2;0
FMR1;0
HPGDS;0
PDHB;0
PVR;0
MTMR2;0
CXCL10;0
FCER2;0
CHMP6;0
CHMP1A;0
MSTN;0
CTSC;0
HBZ;0
BNC2;0
CACNA1B;0
CACNA1C;0
MYL2;0
IL12B;0
IL12A;0
CRABP2;0
CNTF;0
IL5;0
HINT1;0
APOH;0
SNRPE;0
TPD52;0
SETD2;0
SGCA;0
SFTPD;0
NQO2;0
BCAS1;0
LIMD1;0
BST1;0
HGF;0
TDP1;0
IL22;0
SERPIND1;0
SRP19;0
APOA2;0
KLK6;0
GAST;0
RPGR;0
MYBPC1;0
FPR2;0
HTN3;0
SLC9A7;0
NPR2;0
CD48;0
COL9A1;0
COL6A1;0
GCK;0
CD40;0
MVK;0
IDUA;0
WNT2;0
HTR1A;0
CCKAR;0
GSTM3;0
GSTM1;0
CCKBR;0
LALBA;0
ENPEP;0
CSF1;0
NOX1;0
BMP3;0
ALPPL2;0
LNPEP;0
GH1;0
CYP11B2;0
BMP15;0
ANPEP;0
EMILIN1;0
C1RL;0
C5AR1;0
ANXA6;0
PC;0
UMPS;0
C4BPB;0
TNFRSF8;0
MLC1;0
GJA3;0
FBN2;0
MADCAM1;0
ADH5;0
EEF1A2;0
CHRNB2;0
MATN1;0
CHRNB4;0
TMOD1;0
MAGEA1;0
CDX4;0
CHRNA3;0
GPC3;0
HTR1F;0
POU3F4;0
GUCY2F;0
GUCA1A;0
CD44;0
SCGB1A1;0
CD38;0
AMBP;0
PTPN4;0
APOA4;0
CHRDL1;0
FGF13;0
ISG15;0
CYBB;0
FGF3;0
MSLN;0
ADSS;0
SSTR1;0
TNFAIP6;0
CCR6;0
ODF1;0
BCHE;0
XCL1;0
HTR2C;0
RFXAP;0
MUSK;0
AP4M1;0
ASAH1;0
EPCAM;0
ST6GAL1;0
CD79A;0
COL10A1;0
COL13A1;0
CKMT2;0
CRYBA1;0
CRYBB2;0
CRYGC;0
IL10;0
EXT1;0
EXT2;0
FGA;0
FSHB;0
GSR;0
HBB;0
H2AFZ;0
LDHB;0
MDH2;0
MDH1;0
NEFL;0
NPY2R;0
POU2F2;0
THY1;0
TFCP2;0
F7;0
TRPC5;0
TFE3;0
CLCN3;0
SYT5;0
PPOX;0
GFER;0
LTB;0
SEMA3B;0
ALCAM;0
GOLGA3;0
LIFR;0
CDH6;0
SLC25A11;0
CRLF1;0
LRAT;0
CFHR4;0
GNMT;0
TKT;0
LYPLA1;0
SOX13;0
SSNA1;0
VPS39;0
DZIP3;0
ENTPD5;0
WNT7A;0
SIGLEC1;0
AGL;0
TCEB3;0
CAMLG;0
CLIP1;0
RPE65;0
SLC6A2;0
TNXB;0
CD6;0
TLR1;0
RAD51C;0
TLX1;0
MEFV;0
RLBP1;0
RXRB;0
UCN;0
RNASEL;0
TOM1;0
HSF4;0
SIM2;0
GPAA1;0
PCP4;0
STIL;0
PTX3;0
OASL;0
TMSB10;0
TNFRSF11B;0
PON1;0
SEMA3C;0
MCC;0
DSCAM;0
NFATC3;0
CDKN2D;0
RELB;0
UGP2;0
PSMC6;0
PSMD13;0
SIRPB1;0
CLCN7;0
ADAMTS13;0
PRKAB1;0
ATP6V0E1;0
CLDN16;0
AGXT;0
SPAST;0
CYLD;0
TGFBI;0
CALML3;0
COMT;0
CNTFR;0
CKB;0
USH2A;0
EGR2;0
GLUL;0
IFIT2;0
ZBTB48;0
RHOC;0
CDK18;0
PEX2;0
PHKB;0
SPTA1;0
UBE2B;0
RAB2A;0
RAP2B;0
RPE;0
RPLP0;0
COL9A2;0
COL9A3;0
C1QA;0
ZBTB25;0
TEX28;0
MAGEB4;0
MAGEA4;0
MAGEA12;0
PRELP;0
CHAD;0
CTPS2;0
PRPS1;0
SLC35A2;0
SLC25A6;0
SEC13;0
CDKN2B;0
NDUFV2;0
ECH1;0
CRYBA2;0
TMPRSS6;0
COL5A3;0
SMCP;0
DDX11;0
USP5;0
LUM;0
FZD9;0
SH3GL1;0
SERPINB9;0
EML1;0
STK25;0
TADA2A;0
HNRNPH3;0
COL8A2;0
CETN3;0
TAF6L;0
DRG2;0
CLK3;0
UBE2V2;0
MRPS12;0
CPSF4;0
TEAD3;0
NASP;0
NID2;0
AKR7A2;0
ZNF202;0
RCBTB2;0
NOL4;0
USP13;0
ZNF136;0
BAMBI;0
UMOD;0
HAAO;0
IFIT3;0
SH2D3C;0
DUSP12;0
CNOT2;0
PACSIN2;0
TARDBP;0
CYTH3;0
TP53I3;0
AGR2;0
ZMYND10;0
SEC24D;0
ASB9;0
BRCC3;0
EIF4A3;0
RBM41;0
RECK;0
SEPT6;0
GPKOW;0
HLA-DQA1;0
WDR6;0
AKR7A3;0
CDC23;0
IP6K1;0
IP6K2;0
RAI1;0
PMS1;0
GCC1;0
NECAP2;0
C5orf22;0
FBXL18;0
EXD3;0
ZNF446;0
PIH1D1;0
INVS;0
SLC25A10;0
NTN1;0
INPP5K;0
ARMC7;0
FAM124B;0
PDE9A;0
KLHL2;0
SOX30;0
CLEC1B;0
SFMBT1;0
BCL2L13;0
SPEF1;0
YIPF3;0
C1QB;0
CLUAP1;0
CR1;0
C1orf35;0
PDCD10;0
TBC1D5;0
HRG;0
ZNF451;0
VPS33B;0
CCDC7;0
PRMT8;0
MTUS2;0
NME7;0
POM121;0
RIBC2;0
RNF126;0
RNF138;0
TRAPPC3;0
ZNF440;0
HIST1H2BN;0
EIF4H;0
GTPBP3;0
CEP76;0
FAM134A;0
IFNA1;0
FAM96B;0
CUTC;0
NOC2L;0
NECAB2;0
ZC3H14;0
UBE2D4;0
ZNF821;0
CFB;0
ITGAX;0
PLEKHF2;0
OLA1;0
RWDD1;0
UBA5;0
MASP1;0
C3AR1;0
MAPRE3;0
CFHR5;0
CEP70;0
HSD17B14;0
DLK2;0
OLFM4;0
SAP30BP;0
FLAD1;0
SCG5;0
CLP1;0
PIP4K2A;0
IL7R;0
RCAN1;0
CRLF2;0
GDNF;0
LLGL1;0
FGG;0
HP;0
CD22;0
FGF6;0
GAS1;0
IFNA8;0
MIP;0
IL3;0
IL1A;0
IL4R;0
MITF;0
CD14;0
DLX2;0
WNT1;0
GLI1;0
PAX2;0
CRP;0
ALPL;0
HIST1H1A;0
FCGR1A;0
PRKAR1B;0
CKM;0
RAP1B;0
RPS11;0
TNFRSF1B;0
AIFM1;0
TLR7;0
TLR8;0
CRYZ;0
ELK3;0
PSMB5;0
TNFRSF4;0
FZD2;0
IHH;0
IL1RL1;0
SEC62;0
BCL7A;0
DPF2;0
FZD6;0
LRP6;0
GLI2;0
MTIF2;0
APPL2;0
GABRB3;0
HTATIP2;0
ASB6;0
ABCB1;0
PAEP;0
JPH3;0
ERCC8;0
POP4;0
IFNA5;0
ARL6IP5;0
COASY;0
SART1;0
TRO;0
SASH3;0
RPAP3;0
RRP9;0
TTPAL;0
AP1AR;0
TTK;0
CREB3L1;0
XBP1;0
GCH1;0
DRD1;0
LEP;0
INSM1;0
SEC23IP;0
ENTPD1;0
GABARAPL1;0
EGLN3;0
SLC17A7;0
RCN3;0
UCHL3;0
GNAT1;0
HOXB3;0
IRF1;0
KLF2;0
MSH2;0
PIGC;0
MS4A3;0
CCNF;0
GAS7;0
VWA1;0
TASP1;0
CACNG2;0
SOX4;0
ADCY8;0
SLC8A1;0
GBP1;0
IL10RA;0
SEPT11;0
RDX;0
PCSK1;0
PCSK2;0
SLC12A6;0
SLC12A1;0
SCYL3;0
TMEM8B;0
RPGRIP1;0
SLC22A11;0
CRELD2;0
GLE1;0
YIF1A;0
DUSP9;0
GP5;0
TFPI;0
CFI;0
CYC1;0
IGFBP5;0
ALAS2;0
ALB;0
AFP;0
ALDH7A1;0
ASNS;0
SLC1A5;0
UQCRFS1;0
CYP2C19;0
CA8;0
CBR1;0
CYP1A2;0
CYP17A1;0
CYP2C9;0
CYP2E1;0
DCK;0
CYP11B1;0
DBN1;0
FABP3;0
GOT2;0
GNAO1;0
H1F0;0
INPP1;0
IDO1;0
IDH1;0
CD58;0
ADAM11;0
MPZ;0
PTMS;0
PSG1;0
PSMB10;0
REN;0
RPL12;0
SPRR2C;0
FDFT1;0
MED22;0
WARS;0
SLC25A20;0
ARSE;0
GLRA2;0
GRIK5;0
FABP4;0
STAR;0
MPP3;0
STT3A;0
PWP2;0
ADAM3B;0
DNALI1;0
ECHS1;0
SNCB;0
DEAF1;0
GNPAT;0
FARSA;0
MSI1;0
UGDH;0
IFRD1;0
LY6H;0
MOCS2;0
RECQL4;0
B4GALT3;0
RAB35;0
CELSR2;0
LMO7;0
CD101;0
DENR;0
ACIN1;0
ITGAE;0
FXYD3;0
MCOLN1;0
IFITM2;0
CPNE6;0
C10orf2;0
SP110;0
DNAJB9;0
LYPLA2;0
CBR3;0
TSC22D1;0
HERPUD1;0
CRABP1;0
SUV39H2;0
ANKZF1;0
MKS1;0
SLC25A38;0
DBI;0
TAC1;0
TAC3;0
PSD;0
PAPSS1;0
SLC27A6;0
TBL3;0
SIM1;0
IMPA2;0
ETHE1;0
PHIP;0
PSPC1;0
RAB40C;0
NIPSNAP1;0
AK5;0
WDR62;0
RWDD2B;0
DHX29;0
PLEKHM2;0
ZNF287;0
NDUFA6;0
NDUFA7;0
NDUFB8;0
GPR183;0
SNX15;0
ABCF3;0
TMEM9B;0
EMG1;0
URM1;0
COMMD3;0
COMMD8;0
COQ9;0
DMWD;0
FAM32A;0
PPCDC;0
MRPL4;0
TBC1D17;0
WIPI2;0
ZBTB22;0
SURF2;0
ACP6;0
DEXI;0
UQCRQ;0
RSRC1;0
SRPRB;0
PALB2;0
SUPV3L1;0
DNAJC2;0
CCDC88C;0
NAA11;0
TAF4B;0
SHC2;0
UBXN2B;0
ZWILCH;0
TAF1D;0
RAVER2;0
KIAA0513;0
SIKE1;0
ATAD5;0
VPS37B;0
SEC16A;0
BHLHB9;0
SAP30L;0
ERCC4;0
TOR1AIP2;0
MAST3;0
PDZD3;0
MICAL3;0
EHD1;0
RAPGEF2;0
FRMD4B;0
EXOC6B;0
TEAD1;0
DDC;0
RGS20;0
DDX4;0
KIR3DS1;0
RORC;0
PAAF1;0
ABHD5;0
ELAVL2;0
MID1IP1;0
RSBN1;0
CALY;0
CLDN11;0
FAT1;0
GDF11;0
PLA2G16;0
SORCS3;0
ZNF365;0
ALK;0
CHORDC1;0
MAVS;0
GPR50;0
JTB;0
PAIP2B;0
USP20;0
MAGEC1;0
GLS;0
CDC73;0
DICER1;0
AURKC;0
RSF1;0
PDCD11;0
ESPN;0
TMED10;0
ZER1;0
CALB1;0
NEK11;0
PLXND1;0
LYZ;0
NAB1;0
MYH7;0
PSMB1;0
NAB2;0
FLRT3;0
VSIG4;0
SERPINB1;0
MYH2;0
EDC3;0
UBE4A;0
FOXP3;0
EYA4;0
SPINK1;0
SNX27;0
TPP1;0
TPST2;0
FKBP10;0
SYNE2;0
ZNF146;0
U2AF1;0
AMBRA1;0
KDM2A;0
MYO1E;0
MTNR1B;0
CSRP2;0
LRCH4;0
BEX1;0
CAMTA2;0
PLXDC1;0
CXorf40A;0
PANX1;0
GARS;0
SLC39A1;0
SLC39A2;0
DCLRE1A;0
EMILIN2;0
UVRAG;0
KL;0
SPTLC1;0
CD96;0
UBN1;0
MFN1;0
MED14;0
ZXDC;0
NAA15;0
GLG1;0
H2AFY;0
GNG3;0
ABTB2;0
MAP3K1;0
SNX3;0
SNAI1;0
IRF2BP1;0
CRYBB3;0
CRYBA4;0
RWDD3;0
THAP11;0
NECAP1;0
ASB4;0
VRK2;0
RRP8;0
ZNF652;0
WISP2;0
PLAGL2;0
KRT7;0
SCIN;0
ARF4;0
LANCL1;0
CCT2;0
ABLIM3;0
EMX2;0
GTF2H3;0
NTHL1;0
F13B;0
FUBP3;0
API5;0
FGF8;0
C6orf47;0
MIA;0
ARHGAP5;0
KPTN;0
ITGA10;0
ADD2;0
FGF5;0
G6PC;0
CSNK1G1;0
MCAM;0
ADORA1;0
GALR1;0
FUS;0
GLP1R;0
GCGR;0
TRIM22;0
ECD;0
FPR1;0
GCKR;0
SPAG8;0
DNAJC10;0
ATPAF2;0
PCDH17;0
GRIK4;0
GRIK1;0
ADCY1;0
CAMK2N1;0
KDELR1;0
ZNF639;0
CHRNE;0
LSP1;0
OCM2;0
PCBP3;0
CFP;0
KLHL26;0
GYG2;0
GP9;0
GNRHR;0
GNRH1;0
DLK1;0
CSF2;0
IL3RA;0
IL5RA;0
MLNR;0
ARFIP1;0
GHRH;0
SSTR3;0
GPR1;0
SCN8A;0
PTGDR;0
SNX13;0
ARF5;0
LPAR3;0
GNG10;0
MOS;0
BAG2;0
CEP192;0
FDX1;0
UBE2O;0
HK3;0
BATF3;0
ADM;0
HIST1H3E;0
SIX6;0
SIX2;0
HSF2;0
ORM1;0
HSF2BP;0
CHST4;0
HPN;0
GPD2;0
CCR10;0
GANAB;0
IFT88;0
HLA-DMB;0
CTSF;0
KIR3DL1;0
KIR2DS1;0
KIR2DS4;0
KIR2DL3;0
HLA-DOA;0
HLA-DOB;0
HLA-DPA1;0
KIR2DL4;0
PKNOX2;0
CD53;0
ADAM2;0
CHRNG;0
REST;0
FICD;0
KRT9;0
IL2;0
PAPPA2;0
IGLL1;0
CXCL5;0
VPREB3;0
ABR;0
LYL1;0
LMX1B;0
AEBP1;0
PSMD9;0
TCF21;0
RALGAPA1;0
SORL1;0
SORT1;0
ST3GAL4;0
TBX4;0
HMGN1;0
INSRR;0
FOXK2;0
IL13RA2;0
SERPINA4;0
KRT13;0
YME1L1;0
DERL2;0
LCN1;0
CEL;0
MTCH1;0
LMNB1;0
ZNF239;0
NARF;0
TOR1AIP1;0
URB2;0
MUC16;0
TAZ;0
